full_name,title_raw,company,misc_liheadline,source
Jonathan Hyman,Cofounder & CTO,Braze,,FMCTOSummit
Zuwei Sun,Founder & CEO,LightHouse,,FMLinkedIN
Deb Schwartz,CFO,Cameo,,FMCFO
Brendan Humphreys,CTO,Canva,,FMCTOSummit
Claire Vo,Chief Product Officer,ChatPRD,,FMProduct
Kelly Russell,Chief People Officer,Cloudflare,,FMGUildPage
Madalina Tanasie,CTO,Collibra,,FMCTOSummit
Jannik Wiedenhaupt,CPO & Co-founder,SUPPLYCO,CPO & Co-founder at SUPPLYCO || McKinsey ||...,FMLinkedIN
Brendan Hastings,CTO,Birdy Grey,"CTO, Birdy Grey | Commerce Technology, Design, and Data...",FMLinkedIN
Vinod Marur,SVP Engineering,Databricks,,FMCTOSummit
Alexis Lê-Quôc,Cofounder & CTO,Datadog,,FMCTOSummit
Jan Hollez,Founder,Deliverect,Founder at Deliverect | SaaS Entrepreneur | mentor | speak...,FMLinkedIN
Dan Manian,Founder & CEO,Donut,,FMFounder
Andy Fang,Cofounder & CTO,DoorDash,,FMCTOSummit
Cammie Dunaway,CMO,Duolingo,,FMGUildPage
Jorge Mazal,Chief Product Officer,Duolingo,,FMProduct
Severin Hacker,Cofounder & CTO,Duolingo,,FMCTO
Kamil Mroczek,Cofounder/CTO,Elio.earth,Cofounder/CTO @ Elio.earth | Making sustainability easy,FMLinkedIN
Guillermo Sainz,Growth Marketing,Epic Games,"Growth Marketing at Epic Games | Ex-trivago<br>Provides services - Marketing Consulting, Growth Marketing, Performance Marketing, Marketing...",FMLinkedIN
Praveer Melwani,CFO,Figma,,FMCFO
Ben Winn,VP Community & Content,FirstMark Capital,VP Community & Content at FirstMark,FMLinkedIN
Adam Nelson,Partner,FirstMark Capital,,FMFounder
Qi Cao,Founder & CEO,Chargeblast,Founder & CEO @ Chargeblast,FMLinkedIN
Andrew Saunders,Co-Founder,frequency,"Co-Founder of frequency + 3x Blockchain CMO (X-Amazon,... Provides services - Marketing Consulting, Brand Marketing, Content Marketing, Advertising,...",FMLinkedIN
Elizabeth Pemmerl,CRO,GitHub,,FMGUildPage
Sabrina Farmer,CTO,GitLab,,FMCTOSummit
Tamar Yehoshua,CPO,Glean,,FMCTOSummit
Umesh Shankar,"Chief Technologist, Security",Google Cloud,,FMCTOSummit
Ian Andrews,CRO,Groq,CRO At Groq - The Most Popular API for Fast Inference,FMLinkedIN
Armon Dadgar,Cofounder & CTO,HashiCorp,,FMCTOSummit
Lloyd Tabb,Cofounder & CTO,Looker,,FMCTOSummit
Fabian Hedin,Cofounder/CTO,Loveable,,FMGUildPage
Aaron Harris,Founder & CEO,Magid & Co (Fmr. YC),,FMFounder
Amer Ali,VP Finance,Mechanical Orchard,VP Finance @ Mechanical Orchard,FMLinkedIN
Allie Mintz,VP of People,Mockingbird,VP of People at Mockingbird | People Leader | Culture Builder,FMLinkedIN
David Andreasson,CFO,Nitro,CFO at Nitro,FMLinkedIN
Sagnik Nandy,Chief Development Officer,Okta,,FMCTO
Kimber Lockhart,CTO,One Medical,,FMCTO
Ashley Kramer,CRO,OpenAi,,FMGUildPage
Mario Schlosser,Cofounder & CEO,Oscar Health,,FMCTOSummit
Melissa Matlins,"GM, Global Head of Workforce Solutions",Pearson,"GM, Global Head of Workforce Solutions @ Pearson",FMLinkedIN
Henry Modisett,VP Design,Perplexity,,FMGUildPage
Roy Duvall,CTO,PlayOn! Sports,CTO at PlayOn! Sports | Advisor | Dad,FMLinkedIN
Nik Koblov,Head of Engineering,Ramp,,FMCTOSummit
Dan Sturman,CTO,Roblox,,FMCTO
Michelle Velasquez Pulido,Chief People Officer,Rothy's,Chief People Officer at Rothy's,FMLinkedIN
Brittany Bagley,CFO,Sonos,,FMCFO
Tony Jebara,VP Engineering & Head of AI,Spotify,,FMCTOSummit
Alyssa Henry,CEO,Square,,FMProduct
Alyssa Henry,CEO,Square,,FMCTOSummit
Jaime Morgan Hitchcock,Co-Founder & COO,SurrealDB,Co-Founder & COO at SurrealDB,FMLinkedIN
Mohit Daswani,CFO,ThoughtSpot,,FMCFO
Chee Chew,CPO,Twilio,,FMCTOSummit
Charlie Bentivenga,Talent,Vendelux,Talent @ Vendelux,FMLinkedIN
Roy Simkhay,VP Product,Zillow,VP Product @ Zillow,FMLinkedIN
Alec Davidian,CFO,Wag! Group,CFO at Wag! Group Co | ex EY | Advisor | TopCFO Top 25 CFO,FMLinkedIN
Bryan Helming,Cofounder & CTO,Zapier,,FMCTOSummit
Ali Dasdan,CTO,ZoomInfo,,FMCTOSummit
